class, object name, function, description, error code
System,,object,Object 'Q_max_param' was not found,105
System,,object,Object 'Q_max_param' was not found,105
System,,object,Object 'Q_max_param' was not found,105
System,,object,Object 'Q_max_param' was not found,105
System,,object,Object 'myLink1' was not found,105
System,,SetAsParameter,Location 'myLink1' does not exist,601
System,,object,Object 'Q_max_param' was not found,105
System,,object,Object 'Q_max_param' was not found,105
Script,,CreateSystem,,6001
